Municipio-poblacion;Fecha casos;Casos;Tasa;riesgo;Variacion diaria de tasa;Tendencia;Fuente de datos:;Link fuente de datos;Mensaje;Nivel;history_available;Alerta;Población;Comunidad
Madrid-Barajas;08/06/2021;77;153;ALTO;-7,07;Descendente;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;* Casos: Confirmados en los últimos 14 días. <br />Se publica una vez por semana;Distrito;18;;50010;Comunidad de Madrid
Moralzarzal;08/06/2021;17;130;ALTO;-8,225;Descendente;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;* Casos: Confirmados en los últimos 14 días. <br />Se publica una vez por semana;Municipio;18;;13026;Comunidad de Madrid
Madrid-Tetuán;08/06/2021;252;156;ALTO;-3,055;Descendente;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;* Casos: Confirmados en los últimos 14 días. <br />Se publica una vez por semana;Distrito;18;;161313;Comunidad de Madrid
La Hiruela;08/06/2021;;;;0,0;Ins;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;No existen datos de su municipio, puede probar otro cercano.;Municipio;0;;57;Comunidad de Madrid
Madarcos;08/06/2021;;;;0,0;Ins;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;No existen datos de su municipio, puede probar otro cercano.;Municipio;0;;48;Comunidad de Madrid
Arganda Del Rey;08/06/2021;91;164;ALTO;-3,482;Descendente;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;* Casos: Confirmados en los últimos 14 días. <br />Se publica una vez por semana;Municipio;18;;55389;Comunidad de Madrid
Colmenar Del Arroyo;08/06/2021;;;;0,0;Creciente;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;No existen datos de su municipio, puede probar otro cercano.;Municipio;6;;1725;Comunidad de Madrid
Madrid-Usera;08/06/2021;143;100;ALTO;-5,399;Descendente;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;* Casos: Confirmados en los últimos 14 días. <br />Se publica una vez por semana;Distrito;18;;142894;Comunidad de Madrid
Cenicientos;08/06/2021;;;;0,0;Ins;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;No existen datos de su municipio, puede probar otro cercano.;Municipio;0;;2033;Comunidad de Madrid
La Cabrera;08/06/2021;;;;0,0;Creciente;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;No existen datos de su municipio, puede probar otro cercano.;Municipio;15;;2667;Comunidad de Madrid
Tielmes;08/06/2021;;;;0,0;Creciente;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;No existen datos de su municipio, puede probar otro cercano.;Municipio;12;;2650;Comunidad de Madrid
Alcobendas;08/06/2021;184;157;ALTO;-3,204;Descendente;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;* Casos: Confirmados en los últimos 14 días. <br />Se publica una vez por semana;Municipio;18;;117040;Comunidad de Madrid
Nuevo Baztán;08/06/2021;;;;0,0;Constante;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;No existen datos de su municipio, puede probar otro cercano.;Municipio;16;;6276;Comunidad de Madrid
Horcajo De La Sierra-Aoslos;08/06/2021;;;;0,0;Ins;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;No existen datos de su municipio, puede probar otro cercano.;Municipio;0;;145;Comunidad de Madrid
San Martín De La Vega;08/06/2021;37;193;ALTO;0,559;Creciente;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;* Casos: Confirmados en los últimos 14 días. <br />Se publica una vez por semana;Municipio;18;;19170;Comunidad de Madrid
Piñuécar-Gandullas;08/06/2021;;;;0,0;Ins;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;No existen datos de su municipio, puede probar otro cercano.;Municipio;0;;185;Comunidad de Madrid
El Berrueco;08/06/2021;;;;0,0;Ins;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;No existen datos de su municipio, puede probar otro cercano.;Municipio;0;;760;Comunidad de Madrid
Hoyo De Manzanares;08/06/2021;11;130;ALTO;-3,811;Descendente;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;* Casos: Confirmados en los últimos 14 días. <br />Se publica una vez por semana;Municipio;18;;8434;Comunidad de Madrid
Cercedilla;08/06/2021;6;85;MODERADO;-4,575;Descendente;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;* Casos: Confirmados en los últimos 14 días. <br />Se publica una vez por semana;Municipio;18;;7026;Comunidad de Madrid
Majadahonda;08/06/2021;92;128;ALTO;-3,133;Descendente;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;* Casos: Confirmados en los últimos 14 días. <br />Se publica una vez por semana;Municipio;18;;71826;Comunidad de Madrid
Villanueva De Perales;08/06/2021;;;;0,0;Ins;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;No existen datos de su municipio, puede probar otro cercano.;Municipio;0;;1563;Comunidad de Madrid
Anchuelo;08/06/2021;;;;0,0;Ins;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;No existen datos de su municipio, puede probar otro cercano.;Municipio;0;;1271;Comunidad de Madrid
Lozoya;08/06/2021;;;;0,0;Ins;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;No existen datos de su municipio, puede probar otro cercano.;Municipio;0;;581;Comunidad de Madrid
Fuentidueña De Tajo;08/06/2021;;;;0,0;Constante;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;No existen datos de su municipio, puede probar otro cercano.;Municipio;11;;2053;Comunidad de Madrid
Titulcia;08/06/2021;;;;0,0;Ins;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;No existen datos de su municipio, puede probar otro cercano.;Municipio;0;;1313;Comunidad de Madrid
Madrid-Latina;08/06/2021;333;137;ALTO;-5,443;Descendente;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;* Casos: Confirmados en los últimos 14 días. <br />Se publica una vez por semana;Distrito;18;;242139;Comunidad de Madrid
Madrid-Retiro;08/06/2021;157;130;ALTO;-3,737;Descendente;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;* Casos: Confirmados en los últimos 14 días. <br />Se publica una vez por semana;Distrito;18;;120406;Comunidad de Madrid
Villavieja Del Lozoya;08/06/2021;;;;0,0;Ins;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;No existen datos de su municipio, puede probar otro cercano.;Municipio;0;;253;Comunidad de Madrid
Villar Del Olmo;08/06/2021;;;;0,0;Ins;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;No existen datos de su municipio, puede probar otro cercano.;Municipio;0;;2011;Comunidad de Madrid
El Escorial;08/06/2021;14;86;MODERADO;-2,652;Descendente;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;* Casos: Confirmados en los últimos 14 días. <br />Se publica una vez por semana;Municipio;18;;16162;Comunidad de Madrid
Camarma De Esteruelas;08/06/2021;12;163;ALTO;0,0;Creciente;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;* Casos: Confirmados en los últimos 14 días. <br />Se publica una vez por semana;Municipio;18;;7336;Comunidad de Madrid
Villamanrique De Tajo;08/06/2021;;;;0,0;Ins;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;No existen datos de su municipio, puede probar otro cercano.;Municipio;0;;703;Comunidad de Madrid
Santorcaz;08/06/2021;;;;0,0;Ins;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;No existen datos de su municipio, puede probar otro cercano.;Municipio;0;;886;Comunidad de Madrid
Orusco De Tajuña;08/06/2021;5;401;ALTO;-34,451;Descendente;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;* Casos: Confirmados en los últimos 14 días. <br />Se publica una vez por semana;Municipio;4;;1244;Comunidad de Madrid
Carabaña;08/06/2021;;;;0,0;Ins;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;No existen datos de su municipio, puede probar otro cercano.;Municipio;0;;2010;Comunidad de Madrid
Valdeolmos-Alalpardo;08/06/2021;6;145;ALTO;2,59;Creciente;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;* Casos: Confirmados en los últimos 14 días. <br />Se publica una vez por semana;Municipio;16;;4136;Comunidad de Madrid
Madrid-Moratalaz;08/06/2021;96;100;ALTO;-6,723;Descendente;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;* Casos: Confirmados en los últimos 14 días. <br />Se publica una vez por semana;Distrito;18;;95614;Comunidad de Madrid
Madrid;08/06/2021;4481;134;ALTO;-4,517;Descendente;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;* Casos: Confirmados en los últimos 14 días. <br />Se publica una vez por semana;Municipio;18;;3334730;Comunidad de Madrid
Ambite;08/06/2021;;;;0,0;Ins;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;No existen datos de su municipio, puede probar otro cercano.;Municipio;0;;592;Comunidad de Madrid
La Acebeda;08/06/2021;;;;0,0;Ins;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;No existen datos de su municipio, puede probar otro cercano.;Municipio;0;;84;Comunidad de Madrid
Torrelaguna;08/06/2021;5;105;ALTO;-11,255;Descendente;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;* Casos: Confirmados en los últimos 14 días. <br />Se publica una vez por semana;Municipio;17;;4760;Comunidad de Madrid
Robledo De Chavela;08/06/2021;;;;0,0;Creciente;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;No existen datos de su municipio, puede probar otro cercano.;Municipio;9;;4270;Comunidad de Madrid
El Álamo;08/06/2021;7;73;MODERADO;-7,92;Descendente;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;* Casos: Confirmados en los últimos 14 días. <br />Se publica una vez por semana;Municipio;18;;9470;Comunidad de Madrid
Becerril De La Sierra;08/06/2021;6;105;ALTO;1,875;Creciente;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;* Casos: Confirmados en los últimos 14 días. <br />Se publica una vez por semana;Municipio;18;;5714;Comunidad de Madrid
Buitrago Del Lozoya;08/06/2021;;;;0,0;Constante;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;No existen datos de su municipio, puede probar otro cercano.;Municipio;9;;1884;Comunidad de Madrid
Guadalix De La Sierra;08/06/2021;7;112;ALTO;-0,0;Descendente;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;* Casos: Confirmados en los últimos 14 días. <br />Se publica una vez por semana;Municipio;14;;6214;Comunidad de Madrid
Pezuela De Las Torres;08/06/2021;;;;0,0;Ins;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;No existen datos de su municipio, puede probar otro cercano.;Municipio;0;;842;Comunidad de Madrid
La Serna Del Monte;08/06/2021;;;;0,0;Ins;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;No existen datos de su municipio, puede probar otro cercano.;Municipio;0;;81;Comunidad de Madrid
Navalcarnero;08/06/2021;34;116;ALTO;-2,926;Descendente;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;* Casos: Confirmados en los últimos 14 días. <br />Se publica una vez por semana;Municipio;18;;29298;Comunidad de Madrid
Navarredonda Y San Mamés;08/06/2021;;;;0,0;Ins;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;No existen datos de su municipio, puede probar otro cercano.;Municipio;0;;129;Comunidad de Madrid
Pozuelo De Alarcón;08/06/2021;133;153;ALTO;-3,099;Descendente;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;* Casos: Confirmados en los últimos 14 días. <br />Se publica una vez por semana;Municipio;18;;86422;Comunidad de Madrid
Bustarviejo;08/06/2021;;;;0,0;Ins;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;No existen datos de su municipio, puede probar otro cercano.;Municipio;0;;2503;Comunidad de Madrid
Alcorcón;08/06/2021;232;136;ALTO;-1,382;Descendente;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;* Casos: Confirmados en los últimos 14 días. <br />Se publica una vez por semana;Municipio;18;;170514;Comunidad de Madrid
Guadarrama;08/06/2021;13;81;MODERADO;-2,673;Descendente;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;* Casos: Confirmados en los últimos 14 días. <br />Se publica una vez por semana;Municipio;18;;16032;Comunidad de Madrid
San Martín De Valdeiglesias;08/06/2021;7;82;MODERADO;-16,466;Descendente;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;* Casos: Confirmados en los últimos 14 días. <br />Se publica una vez por semana;Municipio;18;;8459;Comunidad de Madrid
Torrejón De La Calzada;08/06/2021;26;293;ALTO;7,246;Creciente;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;* Casos: Confirmados en los últimos 14 días. <br />Se publica una vez por semana;Municipio;18;1;8872;Comunidad de Madrid
Horcajuelo De La Sierra;08/06/2021;;;;0,0;Ins;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;No existen datos de su municipio, puede probar otro cercano.;Municipio;0;;86;Comunidad de Madrid
Rozas De Puerto Real;08/06/2021;;;;0,0;Ins;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;No existen datos de su municipio, puede probar otro cercano.;Municipio;0;;530;Comunidad de Madrid
Cadalso De Los Vidrios;08/06/2021;;;;0,0;Ins;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;No existen datos de su municipio, puede probar otro cercano.;Municipio;0;;3039;Comunidad de Madrid
Boadilla Del Monte;08/06/2021;82;150;ALTO;0,393;Creciente;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;* Casos: Confirmados en los últimos 14 días. <br />Se publica una vez por semana;Municipio;18;;54570;Comunidad de Madrid
Montejo De La Sierra;08/06/2021;;;;0,0;Ins;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;No existen datos de su municipio, puede probar otro cercano.;Municipio;0;;353;Comunidad de Madrid
Madrid-Carabanchel;08/06/2021;286;109;ALTO;-5,683;Descendente;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;* Casos: Confirmados en los últimos 14 días. <br />Se publica una vez por semana;Distrito;18;;260196;Comunidad de Madrid
Somosierra;08/06/2021;;;;0,0;Ins;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;No existen datos de su municipio, puede probar otro cercano.;Municipio;0;;86;Comunidad de Madrid
Rascafría;08/06/2021;;;;-0,0;Descendente;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;No existen datos de su municipio, puede probar otro cercano.;Municipio;7;;1664;Comunidad de Madrid
Lozoyuela-Navas-Sieteiglesias;08/06/2021;;;;0,0;Ins;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;No existen datos de su municipio, puede probar otro cercano.;Municipio;0;;1299;Comunidad de Madrid
Colmenarejo;08/06/2021;7;76;MODERADO;-17,603;Descendente;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;* Casos: Confirmados en los últimos 14 días. <br />Se publica una vez por semana;Municipio;18;;9130;Comunidad de Madrid
Manzanares El Real;08/06/2021;13;147;ALTO;0,0;Creciente;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;* Casos: Confirmados en los últimos 14 días. <br />Se publica una vez por semana;Municipio;18;;8840;Comunidad de Madrid
Valdilecha;08/06/2021;;;;-0,0;Descendente;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;No existen datos de su municipio, puede probar otro cercano.;Municipio;12;;2933;Comunidad de Madrid
Pozuelo Del Rey;08/06/2021;;;;0,0;Ins;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;No existen datos de su municipio, puede probar otro cercano.;Municipio;0;;1147;Comunidad de Madrid
Madrid-Vicálvaro;08/06/2021;118;159;ALTO;-2,604;Descendente;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;* Casos: Confirmados en los últimos 14 días. <br />Se publica una vez por semana;Distrito;18;;74048;Comunidad de Madrid
Robledillo De La Jara;08/06/2021;;;;0,0;Ins;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;No existen datos de su municipio, puede probar otro cercano.;Municipio;0;;80;Comunidad de Madrid
Estremera;08/06/2021;;;;0,0;Ins;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;No existen datos de su municipio, puede probar otro cercano.;Municipio;0;;1260;Comunidad de Madrid
Móstoles;08/06/2021;277;132;ALTO;-6,044;Descendente;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;* Casos: Confirmados en los últimos 14 días. <br />Se publica una vez por semana;Municipio;18;;209184;Comunidad de Madrid
Collado Villalba;08/06/2021;111;174;ALTO;1,683;Creciente;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;* Casos: Confirmados en los últimos 14 días. <br />Se publica una vez por semana;Municipio;18;;63679;Comunidad de Madrid
Cervera De Buitrago;08/06/2021;;;;0,0;Ins;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;No existen datos de su municipio, puede probar otro cercano.;Municipio;0;;150;Comunidad de Madrid
Fuente El Saz De Jarama;08/06/2021;15;224;ALTO;-0,0;Descendente;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;* Casos: Confirmados en los últimos 14 días. <br />Se publica una vez por semana;Municipio;18;;6696;Comunidad de Madrid
Madrid (Provincia);08/06/2021;13576;201;ALTO;-6,503;Descendente;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;* Casos: Confirmados en los últimos 14 días. <br />Se publica una vez por semana;Provincia;18;;6731998;Comunidad de Madrid
Madrid-ZBS Peñagrande;08/06/2021;29;116;ALTO;-4,714;Descendente;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;* Casos: Confirmados en Madrid- Zona Básica de Salud Peñagrande en los últimos 14 días. <br />Se publica una vez por semana;Zona básica de salud;18;;24999,0;Comunidad de Madrid ZBS
Madrid-ZBS Ibiza;08/06/2021;62;177;ALTO;-2,522;Descendente;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;* Casos: Confirmados en Madrid- Zona Básica de Salud Ibiza en los últimos 14 días. <br />Se publica una vez por semana;Zona básica de salud;18;;33990,0;Comunidad de Madrid ZBS
Madrid-ZBS Portazgo;08/06/2021;18;99;MODERADO;-8,966;Descendente;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;* Casos: Confirmados en Madrid- Zona Básica de Salud Portazgo en los últimos 14 días. <br />Se publica una vez por semana;Zona básica de salud;18;;17925,0;Comunidad de Madrid ZBS
Madrid-ZBS Aravaca;08/06/2021;48;138;ALTO;-8,254;Descendente;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;* Casos: Confirmados en Madrid- Zona Básica de Salud Aravaca en los últimos 14 días. <br />Se publica una vez por semana;Zona básica de salud;18;;36347,0;Comunidad de Madrid ZBS
Madrid-ZBS Vicálvaro - Villablanca;08/06/2021;22;136;ALTO;1,817;Creciente;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;* Casos: Confirmados en Madrid- Zona Básica de Salud Vicálvaro - Villablanca en los últimos 14 días. <br />Se publica una vez por semana;Zona básica de salud;18;;17686,0;Comunidad de Madrid ZBS
Madrid-ZBS Media Legua;08/06/2021;20;79;MODERADO;-3,421;Descendente;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;* Casos: Confirmados en Madrid- Zona Básica de Salud Media Legua en los últimos 14 días. <br />Se publica una vez por semana;Zona básica de salud;18;;25057,0;Comunidad de Madrid ZBS
Madrid-ZBS Infanta Mercedes;08/06/2021;21;142;ALTO;-6,692;Descendente;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;* Casos: Confirmados en Madrid- Zona Básica de Salud Infanta Mercedes en los últimos 14 días. <br />Se publica una vez por semana;Zona básica de salud;18;;14410,0;Comunidad de Madrid ZBS
Madrid-ZBS Panaderas;08/06/2021;35;93;MODERADO;-12,421;Descendente;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;* Casos: Confirmados en Madrid- Zona Básica de Salud Panaderas en los últimos 14 días. <br />Se publica una vez por semana;Zona básica de salud;18;;37093,0;Comunidad de Madrid ZBS
Madrid-ZBS Adelfas;08/06/2021;28;95;MODERADO;-7,714;Descendente;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;* Casos: Confirmados en Madrid- Zona Básica de Salud Adelfas en los últimos 14 días. <br />Se publica una vez por semana;Zona básica de salud;18;;29168,0;Comunidad de Madrid ZBS
Madrid-ZBS San Diego;08/06/2021;40;146;ALTO;-1,66;Descendente;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;* Casos: Confirmados en Madrid- Zona Básica de Salud San Diego en los últimos 14 días. <br />Se publica una vez por semana;Zona básica de salud;18;;25816,0;Comunidad de Madrid ZBS
Madrid-ZBS Las Calesas;08/06/2021;16;58;MODERADO;-8,922;Descendente;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;* Casos: Confirmados en Madrid- Zona Básica de Salud Las Calesas en los últimos 14 días. <br />Se publica una vez por semana;Zona básica de salud;18;;26419,0;Comunidad de Madrid ZBS
Madrid-ZBS Alcocer;08/06/2021;12;68;MODERADO;-2,493;Descendente;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;* Casos: Confirmados en Madrid- Zona Básica de Salud Alcocer en los últimos 14 días. <br />Se publica una vez por semana;Zona básica de salud;18;;17188,0;Comunidad de Madrid ZBS
Madrid-ZBS Los Yébenes;08/06/2021;57;166;ALTO;-2,848;Descendente;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;* Casos: Confirmados en Madrid- Zona Básica de Salud Los Yébenes en los últimos 14 días. <br />Se publica una vez por semana;Zona básica de salud;18;;33863,0;Comunidad de Madrid ZBS
Madrid-ZBS Comillas;08/06/2021;32;139;ALTO;-6,693;Descendente;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;* Casos: Confirmados en Madrid- Zona Básica de Salud Comillas en los últimos 14 días. <br />Se publica una vez por semana;Zona básica de salud;18;;22412,0;Comunidad de Madrid ZBS
Madrid-ZBS Estrella;08/06/2021;9;61;MODERADO;-1,473;Descendente;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;* Casos: Confirmados en Madrid- Zona Básica de Salud Estrella en los últimos 14 días. <br />Se publica una vez por semana;Zona básica de salud;18;;14546,0;Comunidad de Madrid ZBS
Madrid-ZBS Gandhi;08/06/2021;34;170;ALTO;2,745;Creciente;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;* Casos: Confirmados en Madrid- Zona Básica de Salud Gandhi en los últimos 14 días. <br />Se publica una vez por semana;Zona básica de salud;18;;19518,0;Comunidad de Madrid ZBS
Madrid-ZBS La Ventilla;08/06/2021;25;108;ALTO;-4,26;Descendente;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;* Casos: Confirmados en Madrid- Zona Básica de Salud La Ventilla en los últimos 14 días. <br />Se publica una vez por semana;Zona básica de salud;18;;22638,0;Comunidad de Madrid ZBS
Madrid-ZBS Guayaba;08/06/2021;16;84;MODERADO;-5,251;Descendente;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;* Casos: Confirmados en Madrid- Zona Básica de Salud Guayaba en los últimos 14 días. <br />Se publica una vez por semana;Zona básica de salud;18;;18364,0;Comunidad de Madrid ZBS
Madrid-ZBS Fuentelarreina;08/06/2021;22;108;ALTO;-4,811;Descendente;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;* Casos: Confirmados en Madrid- Zona Básica de Salud Fuentelarreina en los últimos 14 días. <br />Se publica una vez por semana;Zona básica de salud;18;;20042,0;Comunidad de Madrid ZBS
Madrid-ZBS Rafael Alberti;08/06/2021;30;145;ALTO;-1,596;Descendente;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;* Casos: Confirmados en Madrid- Zona Básica de Salud Rafael Alberti en los últimos 14 días. <br />Se publica una vez por semana;Zona básica de salud;18;;20143,0;Comunidad de Madrid ZBS
Madrid-ZBS Almendrales;08/06/2021;29;130;ALTO;-9,962;Descendente;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;* Casos: Confirmados en Madrid- Zona Básica de Salud Almendrales en los últimos 14 días. <br />Se publica una vez por semana;Zona básica de salud;18;;21511,0;Comunidad de Madrid ZBS
Madrid-ZBS Goya;08/06/2021;100;166;ALTO;-2,162;Descendente;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;* Casos: Confirmados en Madrid- Zona Básica de Salud Goya en los últimos 14 días. <br />Se publica una vez por semana;Zona básica de salud;18;;59477,0;Comunidad de Madrid ZBS
Madrid-ZBS Maqueda;08/06/2021;30;108;ALTO;-4,743;Descendente;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;* Casos: Confirmados en Madrid- Zona Básica de Salud Maqueda en los últimos 14 días. <br />Se publica una vez por semana;Zona básica de salud;18;;27105,0;Comunidad de Madrid ZBS
Madrid-ZBS Ángela Uriarte;08/06/2021;41;148;ALTO;-9,093;Descendente;Comunidad de Madrid.;https://www.comunidad.madrid/gobierno/actualidad/datos-coronavirus;* Casos: Confirmados en Madrid- Zona Básica de Salud Ángela Uriarte en los últimos 14 días. <br />Se publica una vez por semana;Zona básica de salud;18;;27101,0;Comunidad de Madrid ZBS
